# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
C,0.2181,54.804,1
C,0.4164,42.693,0
Si,0.2181,75.608,1
C,0.3133,49.316,0
Si,0.644,55.321,1
Si,0.6403,42.531,1
C,0.2181,47.701,1
C,0.3584,0.57946,0
C,0.3584,45.121,0
Si,0.2181,49.012,1
Si,0.2181,57.254,1
Si,0.2181,58.715,1
C,0.2701,47.182,0
C,0.4336,0,0
C,0.4336,46.845,0
Si,0.2181,50.394,1
Si,0.2181,87.736,1
C,0.414,69.792,0
C,0.2181,43.428,1
Si,0.4302,60.979,1
C,0.2181,38.191,1
C,0.4106,0,0
C,0.4106,35.99,0
Si,0.4266,47.738,1
C,0.5663,31.534,0
C,0.2181,39.368,1
C,0.2181,43.114,1
C,0.4011,29.87,0
C,0.429,26.304,1
C,0.2181,26.71,1
Si,0.4307,48.933,1
Si,0.4323,44.367,1
Si,0.2181,58.653,1
Si,0.4308,64.583,1
Si,0.2181,41.772,1
C,0.3838,27.644,0
Si,0.2181,55.648,1
Si,0.429,50.849,1
C,0.2181,61.66,1
C,0.4054,0,0
C,0.4054,58.053,0
Si,0.433,56.066,1
Si,0.4243,65.033,1
C,0.2181,42.9,1
C,0.6005,29.708,1
Si,0.627,46.46,1
Si,0.7616,0,0
Si,0.7616,44.969,0
C,0.2181,40.536,1
C,0.2181,49.655,1
Si,0.4329,67.067,1
Si,0.2181,71.777,1
C,0.2181,36.956,1
Si,0.2181,73.196,1
Si,0.3678,68.561,0
Si,0.4164,59.511,1
C,0.2181,44.835,1
C,0.3615,0.012171,0
C,0.3615,42.823,0
C,0.5795,36.049,0
C,0.2181,27.148,1
Si,0.2181,92.384,1
Si,0.4125,81.349,0
C,0.7568,30.589,0
C,0.2181,52.93,1
C,0.4244,0,0
C,0.4244,50.454,0
C,0.2181,25.925,1
Si,0.4282,55.38,1
Si,0.426,69.489,1
Si,0.5839,46.888,0
Si,0.2181,44.201,1
Si,0.4323,63.124,1
Si,0.4246,46.605,1
Si,0.2181,80.279,1
C,0.3798,44.073,0
C,0.2181,29.226,1
C,0.428,27.75,1
C,0.4299,52.437,1
C,0.6381,0,0
C,0.6381,48.578,0
Si,0.2181,58.678,1
Si,0.4039,45.119,0
C,0.4222,42.728,1
Si,0.2181,80.381,1
Si,0.4095,59.891,0
C,0.2181,60.521,1
C,0.3955,39.503,0
Si,0.4266,58.176,1
C,0.6016,40.152,0
C,0.4243,30.846,1
Si,0.2181,71.223,1
C,0.4155,50.588,0
Si,0.4325,57.988,1
Si,0.6195,50.39,0
C,0.8181,27.283,0
Si,0.4304,42.279,1
C,0.5282,26.433,0
Si,0.2181,53.174,1
Si,0.4163,67.026,1
C,0.6895,25.677,0
Si,0.4209,44.566,1
C,0.4314,46.318,1
C,0.6432,40.625,0
Si,0.2181,71.283,1
C,0.4,27.531,0
C,0.6214,26.513,1
C,0.2181,48.815,1
C,0.4271,36.38,0
C,0.6089,26.714,1
Si,0.4316,49.036,1
C,0.6335,36.901,0
C,0.2181,62.896,1
Si,0.4134,43,0
Si,0.2181,80.214,1
C,0.2181,31.489,1
C,0.4265,35.571,1
Si,0.2181,74.325,1
Si,0.3309,56.906,0
C,0.4799,35.007,0
C,0.6433,0,0
C,0.6433,32.229,0
Si,0.2181,50.205,1
C,0.406,35.887,0
Si,0.4257,45.693,1
Si,0.2181,80.73,1
Si,0.3589,0,0
Si,0.3589,75.897,0
Si,0.562,0.64341,0
Si,0.562,75.254,0
C,0.779,60.455,0
C,0.2181,62.67,1
C,0.4349,49.841,0
C,0.2181,44.723,1
Si,0.2181,91.523,1
C,0.4041,74.242,0
Si,0.4277,52.689,1
Si,0.2181,51.762,1
Si,0.2181,90.023,1
C,0.6161,25.73,0
Si,0.2181,65.469,1
Si,0.4327,68.929,1
Si,0.2181,69.429,1
Si,0.4159,48.027,0
Si,0.2181,86.85,1
Si,0.3645,0.67372,0
Si,0.3645,86.176,0
C,0.5807,39.071,0
C,0.4305,50.975,1
C,0.2181,50.478,1
C,0.2181,40.682,1
Si,0.4263,53.696,1
Si,0.2181,51.331,1
C,0.4166,44.144,1
Si,0.2181,49.941,1
C,0.3383,25.363,0
C,0.2181,32.926,1
C,0.4238,48.691,1
Si,0.2181,66.126,1
Si,0.4264,81.718,1
C,0.7355,27.877,0
Si,0.2181,88.181,1
Si,0.4263,74.277,0
C,0.2181,50.403,1
C,0.4196,30.986,1
Si,0.2181,64.385,1
Si,0.3769,0,0
Si,0.3769,63.057,0
Si,0.4275,42.123,1
C,0.5371,31.548,0
Si,0.2181,68.636,1
C,0.2752,36.732,0
C,0.2181,61.665,1
C,0.4113,48.781,0
C,0.2181,60.791,1
C,0.4141,39.14,0
Si,0.2181,77.647,1
C,0.4255,36.271,1
C,0.2181,46.188,1
C,0.4104,41.805,0
C,0.4261,26.441,1
C,0.4164,35.018,1
Si,0.2181,86.575,1
C,0.324,34.123,0
Si,0.2181,86.944,1
Si,0.4064,63.979,0
Si,0.2181,62.3,1
C,0.2181,25.113,1
C,0.4091,42.689,1
Si,0.4075,45.034,1
Si,0.2181,51.975,1
Si,0.2768,45.754,0
C,0.4053,25.18,0
Si,0.2181,69.395,1
Si,0.2181,52.852,1
C,0.2181,42.565,1
C,0.3607,26.251,0
C,0.2181,47.588,1
C,0.6092,27.769,0
C,0.2181,47.156,1
C,0.4138,40.134,1
Si,0.2181,89.679,1
C,0.348,44.895,0
Si,0.2181,73.369,1
Si,0.2842,0,0
Si,0.2842,67.413,0
Si,0.2181,46.439,1
C,0.2181,50.07,1
Si,0.2181,72.318,1
C,0.3064,42.909,0
Si,0.6261,45.957,1
C,0.2181,36.096,1
C,0.2181,31.96,1
Si,0.2181,62.458,1
Si,0.6313,57.96,1
Si,0.2181,57.413,1
Si,0.2181,47.269,1
C,0.6382,26.206,1
C,0.6131,28.768,1
Si,0.2181,66.181,1
Si,0.2181,59.197,1
C,0.3649,41.7,0
Si,0.4047,44.877,1
C,0.2181,70.267,1
C,0.4327,0.0058645,0
C,0.4327,68.261,0
C,0.6507,32.397,0
