# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
O,0.7366,20.466,0
Ti,0.4326,66.513,1
O,0.5387,21.09,0
O,0.2186,48.213,1
Ti,0.4329,48.807,1
O,0.4896,30.571,0
O,0.2186,81.12,1
O,0.2186,57.794,1
O,0.4302,33.46,0
O,0.5972,19.11,0
O,0.2186,60.547,1
O,0.4365,29.561,0
O,0.7329,0,0
O,0.7329,22.863,0
O,0.552,37.087,1
O,0.2186,46.524,1
O,0.3234,37.353,0
O,0.2186,64.817,1
O,0.3652,44.083,0
O,0.2186,23.737,1
O,0.3871,0,0
O,0.3871,21.735,0
Ti,0.4268,47.146,1
O,0.4065,23.396,1
O,0.8405,23.871,1
Ti,0.2186,95.702,1
O,0.3167,24.035,0
O,0.415,21.19,0
O,0.2041,39.38,0
O,0.1881,28.091,0
Ti,0.2186,63.287,1
O,0.4215,38.981,1
O,0.6143,27.935,0
Ti,0.4294,62.715,1
O,0.4334,42.523,0
O,0.2186,25.88,1
O,0.4259,49.315,1
O,0.7662,26.324,0
O,0.2186,29.256,1
O,0.2916,0.015837,0
O,0.2916,27.24,0
Ti,0.4246,46.032,1
O,0.7141,19.065,1
Ti,0.2186,45.693,1
O,0.43,30.868,0
O,0.4287,56.954,1
O,0.2186,19.784,1
O,0.5395,20.226,1
Ti,0.2186,86.543,1
O,0.4296,24.086,0
O,0.2365,25.741,0
O,0.2186,78.713,1
O,0.4339,26.99,0
O,0.4173,26.06,1
O,0.4322,31.511,1
O,0.2186,69.694,1
O,0.4136,59.181,0
O,0.6148,55.042,0
O,0.2186,22.937,1
O,0.2186,63.235,1
O,0.4371,41.751,0
O,0.2186,69.599,1
O,0.3951,0,0
O,0.3951,66.083,0
O,0.2186,26.756,1
O,0.3975,0.11525,0
O,0.3975,24.641,0
Ti,0.3861,46.218,1
O,0.2186,60.124,1
O,0.4062,33.293,0
O,0.7193,21.52,1
O,0.8021,0,0
O,0.8021,19.345,0
Ti,0.2186,63.919,1
Ti,0.3811,55.17,0
Ti,0.5738,49.292,0
O,0.6297,19.9,1
O,0.2186,21.056,1
O,0.4284,40.272,1
O,0.5708,31.628,0
O,0.6342,23.692,1
O,0.8071,23.548,1
O,0.2186,78.176,1
O,0.4242,63.38,0
O,0.8112,32.653,0
O,0.2186,66.436,1
O,0.3917,60.893,0
O,0.7298,38.307,0
O,0.2186,26.197,1
O,0.4264,36.253,1
O,0.6056,21.288,0
O,0.2186,69.465,1
O,0.3833,66.031,0
O,0.4257,30.704,1
O,0.4041,40.262,1
O,0.2186,32.394,1
O,0.3416,26.192,0
O,0.4326,30.87,1
O,0.6477,23.385,1
O,0.4318,28.237,1
O,0.4196,49.369,1
O,0.9997,22.432,0
O,0.5718,21.26,1
O,0.2186,36.413,1
Ti,0.2186,47.562,1
O,0.2071,23.436,0
O,0.3627,21.416,1
O,0.5284,20.478,1
O,0.2186,76.187,1
O,0.4314,21.758,0
O,0.4327,67.44,1
O,0.4251,42.27,1
O,0.8478,24.446,0
Ti,0.4307,44.825,1
O,0.4152,63.555,1
O,0.2186,36.188,1
O,0.3952,25.422,0
Ti,0.2186,74.21,1
O,0.2186,63.286,1
O,0.432,45.529,0
O,0.2186,32.206,1
O,0.4314,29.217,1
O,0.8027,27.064,1
Ti,0.2186,87.566,1
Ti,0.4054,41.31,1
O,0.5867,19.148,1
O,0.431,42.547,1
O,0.2186,19.14,1
O,0.6379,21.952,1
O,0.4295,51.597,1
O,0.5945,34.263,1
Ti,0.4093,58.277,1
O,0.4717,26.144,0
O,0.2186,73.826,1
Ti,0.4368,50.365,0
O,0.4157,22.156,1
O,0.4307,42.602,1
O,0.2186,44.571,1
O,0.3147,29.81,0
O,0.2186,19.527,1
O,0.6392,19.047,1
O,0.2186,62.871,1
O,0.3844,0.0021765,0
O,0.3844,60.868,0
O,0.603,37.587,0
O,0.8554,0,0
O,0.8554,20.669,0
O,0.4207,22.405,1
O,0.6184,45.273,1
O,0.8078,31.824,0
O,0.2186,20.153,1
Ti,0.4288,40.669,1
O,0.2186,40.011,1
O,0.4123,59.374,1
O,0.9974,28.335,0
O,0.2186,38.823,1
O,0.3571,35.385,0
O,0.4222,38.655,1
O,0.4296,41.594,1
O,0.7048,27.206,0
O,0.2186,30.335,1
O,0.2877,0,0
O,0.2877,28.283,0
O,0.4249,49.588,1
O,0.2186,47.882,1
O,0.2443,0,0
O,0.2443,22.844,0
O,0.02964,0,0
O,0.02964,20.794,0
Ti,0.2186,65.461,1
O,0.432,25.978,1
O,0.6227,31.868,1
O,0.2186,30.648,1
O,0.4064,22.22,0
O,0.4241,21.25,1
Ti,0.6128,42.761,1
Ti,0.2186,83.502,1
O,0.06358,24.106,0
O,0.1741,44.48,0
O,0.2186,65.549,1
Ti,0.4241,52.413,1
O,0.4687,27.22,0
O,0.4059,25.522,1
O,0.2186,57.249,1
O,0.543,0,0
O,0.543,21.378,0
O,0.3782,20.025,0
Ti,0.2186,57.796,1
O,0.6231,27.097,0
O,0.4247,41.217,1
O,0.6084,20.271,0
O,0.2186,64.245,1
O,0.2186,57.439,1
Ti,0.3784,41.525,0
O,0.5965,21.808,0
O,0.8392,22.466,1
O,0.2186,27.269,1
Ti,0.2186,43.407,1
O,0.2584,21.865,0
O,0.4228,0,0
O,0.4228,20.942,0
O,0.2186,20.205,1
O,0.4315,56.19,1
O,0.2186,36.694,1
O,0.2978,32.06,0
O,0.2186,58.777,1
O,0.4306,23.998,1
Ti,0.6288,52.292,1
O,0.649,29.82,0
Ti,0.2186,86.516,1
O,0.179,28.027,0
